vid,name
德拉科·马尔福,德拉科·马尔福
爱尔兰魁地奇国家队,爱尔兰魁地奇国家队
巴德摩家庭,巴德摩家庭
塔特希尔龙卷风队,塔特希尔龙卷风队
阿不思·邓布利多,阿不思·邓布利多
琼斯家族,琼斯家族
绝望女巫协会,绝望女巫协会
伪劣防御咒及防护用品侦查收缴办公室,伪劣防御咒及防护用品侦查收缴办公室
斯梅绥克家族,斯梅绥克家族
格兰芬多魁地奇球队,格兰芬多魁地奇球队
劫盗者,劫盗者
波德摩家族,波德摩家族
德拉库尔家族,德拉库尔家族
霍格莫德村,霍格莫德村
麦克米兰家族,麦克米兰家族
《战争中的巫师》,《战争中的巫师》
卡斯特罗布舍,卡斯特罗布舍
神秘事务司,神秘事务司
美国魔法国会,美国魔法国会
蒙特罗斯喜鹊队,蒙特罗斯喜鹊队
斐尼甘家庭,斐尼甘家庭
圣芒戈魔法伤病医院,圣芒戈魔法伤病医院
格林格拉斯家族,格林格拉斯家族
动物园爬虫馆,动物园爬虫馆
肃清者,肃清者
快速念咒,快速念咒
鼻涕虫俱乐部,鼻涕虫俱乐部
多洛霍夫家族,多洛霍夫家族
第二塞勒姆教堂,第二塞勒姆教堂
实验咒语委员会,实验咒语委员会
亚瑟王的宫廷,亚瑟王的宫廷
家养小精灵解放阵线,家养小精灵解放阵线
斯内普家庭,斯内普家庭
温布恩黄蜂队,温布恩黄蜂队
麦格雷格家庭,麦格雷格家庭
国际魁地奇联合会,国际魁地奇联合会
魁地沼,魁地沼
福斯科家族,福斯科家族
威森加摩,威森加摩
斯莱特林学院,斯莱特林学院
罗齐尔家族,罗齐尔家族
约翰逊家庭,约翰逊家庭
老魔杖,老魔杖
克劳奇家族,克劳奇家族
英格兰高布石队,英格兰高布石队
塔拉波托树上飞队,塔拉波托树上飞队
莱斯特兰奇家族,莱斯特兰奇家族
拉文克劳魁地奇球队,拉文克劳魁地奇球队
弗利蒙家族,弗利蒙家族
唐克斯家族,唐克斯家族
赫普兹巴·史密斯,赫普兹巴·史密斯
艾博家族,艾博家族
英国政府,英国政府
瑟克尔家庭,瑟克尔家庭
洛夫古德家庭,洛夫古德家庭
《唱唱反调》,《唱唱反调》
无头猎手队,无头猎手队
斯莱特林魁地奇球队,斯莱特林魁地奇球队
威尔士魁地奇代表队,威尔士魁地奇代表队
死亡圣器,死亡圣器
奥特里·圣卡奇波尔村纸店,奥特里·圣卡奇波尔村纸店
麻瓜社会,麻瓜社会
盖勒特·格林德沃的军队,盖勒特·格林德沃的军队
埃尔科特家族,埃尔科特家族
洛哈特家庭,洛哈特家庭
英国,英国
魔法生物管理控制司,魔法生物管理控制司
科瓦尔斯基家庭,科瓦尔斯基家庭
马屁精格雷戈里,马屁精格雷戈里
雷鸟学院,雷鸟学院
家养小精灵权益促进会,家养小精灵权益促进会
珀克斯家族,珀克斯家族
海德堡猎犬队,海德堡猎犬队
搜捕队员,搜捕队员
大湖人鱼群落,大湖人鱼群落
先遣警卫,先遣警卫
凯特尔伯恩家庭,凯特尔伯恩家庭
狼人军队,狼人军队
普克奇学院,普克奇学院
布斯巴顿魔法学院,布斯巴顿魔法学院
邓布利多家族,邓布利多家族
菲奇堡飞雀队,菲奇堡飞雀队
布洛贺家庭,布洛贺家庭
卡菲利飞弩队,卡菲利飞弩队
拉文克劳家族,拉文克劳家族
亨利七世宫廷,亨利七世宫廷
爱尔兰,爱尔兰
食死徒,食死徒
破釜酒吧,破釜酒吧
小德罗平村,小德罗平村
德姆斯特朗学院,德姆斯特朗学院
美国魁地奇国家队,美国魁地奇国家队
魔法法律执行司,魔法法律执行司
乔金斯家族,乔金斯家族
麻瓜出身登记委员会,麻瓜出身登记委员会
斯卡曼德家族,斯卡曼德家族
天文学系,天文学系
麦格家族,麦格家族
勒梅家庭,勒梅家庭
古灵阁巫师银行,古灵阁巫师银行
克里瓦特家族,克里瓦特家族
波特家族,波特家族
哑炮支持协会,哑炮支持协会
调查行动组,调查行动组
魔咒俱乐部,魔咒俱乐部
光轮比赛扫帚公司,光轮比赛扫帚公司
莫恩家族,莫恩家族
调查组,调查组
特里劳尼家族,特里劳尼家族
拉文克劳学院,拉文克劳学院
妖精联络处,妖精联络处
布朗家族,布朗家族
《预言家日报》,《预言家日报》
亚克斯利家族,亚克斯利家族
罗伯茨家庭,罗伯茨家庭
人鱼村落,人鱼村落
杰纳斯·西奇病房,杰纳斯·西奇病房
克拉布家族,克拉布家族
格罗济斯克妖精队,格罗济斯克妖精队
埃尔科特家庭,埃尔科特家庭
苏格兰橄榄球代表队,苏格兰橄榄球代表队
施密特家庭,施密特家庭
肖家族,肖家族
布特家族,布特家族
伯斯德家族,伯斯德家族
炼金术,炼金术
洛夫古德家族,洛夫古德家族
沃卡诺夫家族,沃卡诺夫家族
英国魔法部,英国魔法部
普伦基特家族,普伦基特家族
魁地奇,魁地奇
博恩斯家庭,博恩斯家庭
圣芒戈,圣芒戈
禁止滥用麻瓜物品办公室,禁止滥用麻瓜物品办公室
黑魔法,黑魔法
梅森家庭,梅森家庭
内特尔斯家庭,内特尔斯家庭
威格敦流浪汉队,威格敦流浪汉队
列支敦士登魁地奇国家队,列支敦士登魁地奇国家队
古怪姐妹演唱组,古怪姐妹演唱组
博金-博克,博金-博克
布坎南家庭,布坎南家庭
母夜叉改革协会,母夜叉改革协会
新塞勒姆慈善协会,新塞勒姆慈善协会
盖勒特·格林德沃,盖勒特·格林德沃
Q.U.A.B.B.L.E.,Q.U.A.B.B.L.E.
劫猎者,劫猎者
布兰德家庭,布兰德家庭
罗马尼亚火龙保护区,罗马尼亚火龙保护区
米德根家庭,米德根家庭
阿基·阿尔德顿快修店,阿基·阿尔德顿快修店
布莱克家族,布莱克家族
日本魁地奇国家队,日本魁地奇国家队
纯血统优越主义,纯血统优越主义
《巫师周刊》,《巫师周刊》
麦克玛家庭,麦克玛家庭
肯梅尔红隼队,肯梅尔红隼队
摩根家庭,摩根家庭
普德米尔联队,普德米尔联队
卡玛家族,卡玛家族
邓布利多军,邓布利多军
查德里火炮队,查德里火炮队
特姆利特家庭,特姆利特家庭
冈特家族,冈特家族
波克斯家庭,波克斯家庭
尼恩家庭,尼恩家庭
伊尔弗莫尼魔法学校,伊尔弗莫尼魔法学校
汤姆·马沃罗·里德尔,汤姆·马沃罗·里德尔
伏地魔,伏地魔
列支敦士登魔法部,列支敦士登魔法部
古怪姐妹,古怪姐妹
帕金家庭,帕金家庭
达力·德思礼一伙人,达力·德思礼一伙人
埃及,埃及
卢平家族,卢平家族
迪戈里家族,迪戈里家族
马尔福家族,马尔福家族
格兰芬多学院,格兰芬多学院
格兰杰家庭,格兰杰家庭
普威特家族,普威特家族
